Duration,Date,Pulse,Maxpulse,Calories,Calories_per_minute,Pulse_difference,Workout_type,Date_str
60,2020-12-01,110,130,409.1,6.818333333333333,20,Long,2020-12-01
60,2020-12-02,117,145,479.0,7.983333333333333,28,Long,2020-12-02
60,2020-12-03,103,135,340.0,5.666666666666667,32,Long,2020-12-03
45,2020-12-04,109,175,282.4,6.275555555555555,66,Short,2020-12-04
45,2020-12-05,117,148,406.0,9.022222222222222,31,Short,2020-12-05
60,2020-12-06,102,127,300.0,5.0,25,Long,2020-12-06
60,2020-12-07,110,136,374.0,6.233333333333333,26,Long,2020-12-07
450,2020-12-08,104,134,253.3,0.5628888888888889,30,Long,2020-12-08
30,2020-12-09,109,133,195.1,6.503333333333333,24,Short,2020-12-09
60,2020-12-10,98,124,269.0,4.483333333333333,26,Long,2020-12-10
60,2020-12-11,103,147,329.3,5.488333333333333,44,Long,2020-12-11
60,2020-12-12,100,120,250.7,4.178333333333333,20,Long,2020-12-12
60,2020-12-13,106,128,345.3,5.755,22,Long,2020-12-13
60,2020-12-14,104,132,379.3,6.321666666666667,28,Long,2020-12-14
60,2020-12-15,98,123,275.0,4.583333333333333,25,Long,2020-12-15
60,2020-12-16,98,120,215.2,3.5866666666666664,22,Long,2020-12-16
60,2020-12-17,100,120,300.0,5.0,20,Long,2020-12-17
45,2020-12-18,90,112,300.0,6.666666666666667,22,Short,2020-12-18
60,2020-12-19,103,123,323.0,5.383333333333334,20,Long,2020-12-19
45,2020-12-20,97,125,243.0,5.4,28,Short,2020-12-20
60,2020-12-21,108,131,364.2,6.069999999999999,23,Long,2020-12-21
60,2020-12-23,130,101,300.0,5.0,-29,Long,2020-12-23
45,2020-12-24,105,132,246.0,5.466666666666667,27,Short,2020-12-24
60,2020-12-25,102,126,334.5,5.575,24,Long,2020-12-25
60,2020-12-26,100,120,250.0,4.166666666666667,20,Long,2020-12-26
60,2020-12-27,92,118,241.0,4.016666666666667,26,Long,2020-12-27
60,2020-12-28,103,132,300.0,5.0,29,Long,2020-12-28
60,2020-12-29,100,132,280.0,4.666666666666667,32,Long,2020-12-29
60,2020-12-30,102,129,380.3,6.338333333333334,27,Long,2020-12-30
60,2020-12-31,92,115,243.0,4.05,23,Long,2020-12-31
